game, level, playable, do nothing steps, advanced wins, one step wins, random wins, advanced score, one step score, random score
game_4,game_4_level0, true,2000.0,0,0,0,0.0,0.0,0.0
game_4,game_4_level1, true,2000.0,0,0,0,0.0,0.0,0.0
game_4,game_4_level2, true,2000.0,0,0,0,0.0,0.0,0.0
game_4,game_4_level3, true,2000.0,0,0,0,0.0,0.0,0.0
game_4,game_4_level4, true,2000.0,0,0,0,0.0,0.0,0.0
game_0,game_0_level0, true,2000.0,0,0,0,0.0,0.0,0.0
game_0,game_0_level1, true,2000.0,0,0,0,0.0,0.0,0.0
game_0,game_0_level2, true,2000.0,0,0,0,0.0,0.0,0.0
game_0,game_0_level3, true,2000.0,0,0,0,0.0,0.0,0.0
game_0,game_0_level4, true,2000.0,0,0,0,0.0,0.0,0.0
game_7,game_7_level0, true,2000.0,0,0,0,0.0,0.0,0.0
game_7,game_7_level1, true,2000.0,0,0,0,0.0,0.0,0.0
game_7,game_7_level2, true,2000.0,0,0,0,0.0,0.0,0.0
game_7,game_7_level3, true,2000.0,0,0,0,0.0,0.0,0.0
game_7,game_7_level4, true,2000.0,0,0,0,0.0,0.0,0.0
game_2,game_2_level0, true,2000.0,0,0,0,0.0,0.0,0.0
game_2,game_2_level1, true,2000.0,0,0,0,0.0,0.0,0.0
game_2,game_2_level2, true,2000.0,0,0,0,0.0,0.0,0.0
game_2,game_2_level3, true,2000.0,0,0,0,0.0,0.0,0.0
game_2,game_2_level4, true,2000.0,0,0,0,0.0,0.0,0.0
game_1,game_1_level0, true,2000.0,0,0,0,0.0,0.0,0.0
game_1,game_1_level1, true,2000.0,0,0,0,0.0,0.0,0.0
game_1,game_1_level2, true,2000.0,0,0,0,0.0,0.0,0.0
game_1,game_1_level3, true,2000.0,0,0,0,0.0,0.0,0.0
game_1,game_1_level4, true,2000.0,0,0,0,0.0,0.0,0.0
game_3,game_3_level0, true,2000.0,0,0,0,0.0,0.0,0.0
game_3,game_3_level1, true,2000.0,0,0,0,0.0,0.0,0.0
game_3,game_3_level2, true,2000.0,0,0,0,0.0,0.0,0.0
game_3,game_3_level3, true,2000.0,0,0,0,0.0,0.0,0.0
game_3,game_3_level4, true,2000.0,0,0,0,0.0,0.0,0.0
game_8,game_8_level0, true,2000.0,0,0,0,0.0,0.0,0.0
game_8,game_8_level1, true,2000.0,0,0,0,0.0,0.0,0.0
game_8,game_8_level2, true,2000.0,0,0,0,0.0,0.0,0.0
game_8,game_8_level3, true,2000.0,0,0,0,0.0,0.0,0.0
game_8,game_8_level4, true,2000.0,0,0,0,0.0,0.0,0.0
game_5,game_5_level0, true,0.0,0,0,0,0.0,0.0,0.0
game_5,game_5_level1, true,1000.0,1,0,0,4.0,0.2,-1.2
game_5,game_5_level2, true,1000.0,0,0,0,4.6,0.2,-1.6
game_5,game_5_level3, true,1000.0,1,0,0,2.0,0.0,-1.6
game_5,game_5_level4, true,0.0,0,0,0,0.0,0.0,0.0
game_6,game_6_level0, true,2000.0,0,0,0,0.0,0.0,0.0
game_6,game_6_level1, true,2000.0,0,0,0,0.0,0.0,0.0
game_6,game_6_level2, true,2000.0,0,0,0,0.0,0.0,0.0
game_6,game_6_level3, true,2000.0,0,0,0,0.0,0.0,0.0
game_6,game_6_level4, true,2000.0,0,0,0,0.0,0.0,0.0
